test,outcome,grouping,k_groups,n_total,F_statistic,df_between,df_within,p_value,eta_squared
One-way ANOVA,prescriber brand_share,specialty,20,650861,5509.478839911659,19,650841.0,0.0,0.1385535072960943
Kruskal-Wallis H,prescriber brand_share,specialty,20,650861,78426.89495181516,19,,0.0,
