brand_name,generic_name,num_mfr,spend_2019,claims_2019,benes_2019,unit_cost_2019,spend_2020,claims_2020,benes_2020,unit_cost_2020,spend_2021,claims_2021,benes_2021,unit_cost_2021,spend_2022,claims_2022,benes_2022,unit_cost_2022,spend_2023,claims_2023,benes_2023,unit_cost_2023,growth_rate
Daytrana,Methylphenidate,1,616907.93,1367.0,242.0,12.423456301,659391.27,1364.0,240.0,13.582946402,751867.46,1441.0,238.0,14.629276741,708936.01,1297.0,240.0,15.359365322,428540.58,802,141.0,15.275762788,0.0530284802
Dayvigo,Lemborexant,1,,,,,1189295.46,4123.0,2158.0,9.4001546904,9100845.47,28697.0,8988.0,10.115299066,13911430.29,42136.0,10685.0,10.30033871,16516063.17,45059,11530.0,11.16291034,0.058963063
Ddavp*,Desmopressin Acetate,1,900136.36,679.0,141.0,45.950833916,772773.37,580.0,107.0,38.404352347,599705.96,416.0,75.0,16.546848709,518804.86,401.0,60.0,12.810989501,420012.28,353,57.0,12.498279336,-0.277830392
Deblitane,Norethindrone,1,53119.11,2259.0,621.0,0.501691632,60951.37,2435.0,628.0,0.5483013386,52162.12,2294.0,680.0,0.4764360089,61106.41,2214.0,674.0,0.5710025604,60679.33,2135,604.0,0.5683234834,0.0316673495
Decitabine,Decitabine,8,613970.37,150.0,63.0,798.66857226,586668.81,144.0,45.0,890.02221692,816884.83,249.0,76.0,717.74066422,845696.12,288.0,80.0,603.2256687,664132.35,267,79.0,512.36971844,-0.105038785
Deferasirox,Deferasirox,12,20431241.41,2535.0,827.0,107.10802098,64266924.75,11771.0,2671.0,68.934661477,52158649.59,15130.0,3089.0,44.185608877,51683782.96,17291.0,3293.0,38.258728812,49214657.91,18327,3436.0,34.190890849,-0.248338848
Deferiprone,Deferiprone,2,,,,,,,,,3066129.12,294.0,86.0,54.79642345,5719454.07,603.0,136.0,54.86589603,7507356.17,859,198.0,52.980633693,-0.016708086
Deferiprone (3 Times A Day),Deferiprone,1,,,,,,,,,,,,,1466350.53,106.0,41.0,134.1706039,5062186.07,380,107.0,124.42083444,-0.072666957
Deferoxamine Mesylate,Deferoxamine Mesylate,3,117458.51,519.0,60.0,34.919047517,106477.23,377.0,43.0,29.190003432,139366.93,430.0,34.0,28.461139434,110351.26,340.0,39.0,25.517994151,82268.16,268,35.0,20.969067315,-0.119703082
Delestrogen,Estradiol Valerate,1,368538.07,1717.0,716.0,38.853318727,271566.24,1365.0,545.0,36.151531928,255299.45,1305.0,576.0,34.914392877,170992.88,917.0,409.0,33.669611452,132340.88,717,293.0,33.552236253,-0.036008205
Delstrigo,Doravirine/Lamivu/Tenofov Diso,1,2220810.95,1018.0,206.0,71.436276055,5865682.9,2492.0,327.0,75.941000777,8118272.98,3274.0,432.0,80.68249831,11982556.03,4531.0,577.0,85.528594076,16119606.91,5775,722.0,89.554864303,0.0581386876
Delzicol,Mesalamine,1,29662683.04,39468.0,9403.0,3.8040922277,5536148.21,7336.0,1923.0,3.7128221119,2722503.54,2797.0,661.0,3.797335578,1784402.2,1639.0,403.0,3.8154666906,1519946.95,1213,269.0,3.862841346,0.0038387551
Demeclocycline HCl,Demeclocycline HCl,3,7231394.52,18229.0,3582.0,6.3523825781,7033348.8,16052.0,3155.0,6.8959077799,6722327.86,13892.0,2791.0,7.6007208671,6411036.28,12118.0,2385.0,8.3813183131,5889994.89,10681,2089.0,8.4930305339,0.0753046154
Demerol,Meperidine HCl/PF,1,63031.37,1966.0,1609.0,4.0885364926,44705.71,399.0,236.0,3.8992174215,44246.35,150.0,41.0,6.2516267317,58477.17,171.0,35.0,7.0829202223,71081.36,187,35.0,7.9012635699,0.1790498509
Demser,Metyrosine,1,3200369.3,130.0,19.0,346.62290696,3068803.44,117.0,21.0,299.74638015,1090580.48,39.0,,332.59544983,225809.12,15.0,,422.8635206,320547.51,12,,456.62038462,0.0713330648
Denavir,Penciclovir,1,6526072.4,7134.0,5082.0,162.61315393,6527908.93,7122.0,4420.0,162.41205493,5566595.63,5865.0,3781.0,162.52122184,4882911.77,5334.0,3418.0,163.4994733,889205.96,945,521.0,164.21162696,0.0024484709
Denta 5000 Plus,Fluoride (Sodium),1,341235.3,40582.0,21134.0,0.1131593532,461905.03,50398.0,24819.0,0.1140152293,589127.37,53452.0,27960.0,0.1329269829,420829.54,39616.0,21319.0,0.1334858268,403170.85,39485,22627.0,0.1351115584,0.0453230131
Dentagel,Fluoride (Sodium),1,129785.45,16291.0,7559.0,0.1132126854,128993.58,16043.0,6880.0,0.1141600763,149215.9,17097.0,8021.0,0.1281992926,137919.8,16112.0,6950.0,0.1256279814,179176.98,20517,8536.0,0.129030455,0.033235416500000003
Depakote,Divalproex Sodium,2,16456782.03,25280.0,3340.0,4.8707281832,15805668.54,23334.0,3138.0,4.8551901268,14495591.0,20529.0,2840.0,4.9524051887,13496837.44,18934.0,2695.0,4.96020235,12924238.05,17051,2580.0,5.24153829,0.0185121572
