cluster,n_drugs,avg_spend,total_spend,median_unit,avg_claims,avg_dollar_growth,label
0,751,59473128.19683089,44664319275.82,1.994408811,770916.6351531291,-33282772.774553932,High-Volume Generic
1,818,80735052.81022005,66041273198.76,317.034017865,11225.883863080684,44933600.92409536,High-Cost Specialty
2,1188,1094044.600681818,1299724985.61,5.2918439359,597.3181818181819,-4580316.59787037,Low-Impact Declining
3,841,194909872.8783353,163919203090.68,3.6069124394,1223288.5493460167,107805266.26527941,High-Spend High-Growth
