substitution_rate,point_estimate_annual_savings,ci_lower_95,ci_upper_95,pct_of_part_d_2023
0.3,5947512811.764611,5755961008.722401,6158459061.314952,0.021563588145094438
0.4,7930017082.352816,7674614678.2965355,8211278748.419936,0.02875145086012592
0.5,9912521352.94102,9593268347.870668,10264098435.52492,0.0359393135751574
0.6,11895025623.529222,11511922017.444801,12316918122.629904,0.043127176290188876
0.7,13877529894.117426,13430575687.018934,14369737809.734886,0.05031503900522036
